date,num_cases,high,low,open,close,Coronavirus___Worldwide_,sentiment,total_injection
2020-04-23,208435,8635.230469,8475.200195,8528.839844,8494.75,43,0.058517088372785284,151588
2020-04-24,214410,8642.929688,8464.419922,8530.080078,8634.519531,42,0.056242125140870236,49792
2020-04-27,,8754.570313,8697.370117,8717.980469,8730.160156,100,0.05818281341988454,20843
2020-04-28,190627,8830.570313,8600.700195,8825.69043,8607.730469,94,0.052745856283392914,126337
2020-04-29,205762,8957.269531,8765.009766,8802.700195,8914.709961,92,0.059621287838161674,40308
2020-04-30,218918,8926.110352,8825.830078,8911.019531,8889.549805,78,0.07129083955447081,276103
2020-05-01,225896,8754.459961,8566.839844,8681.290039,8604.950195,90,0.06917480869667918,108362
2020-05-04,199054,8715.820313,8537.830078,8555.320313,8710.709961,84,0.0593090359446199,24993
2020-05-05,203286,8909.959961,8781.30957,8809.660156,8809.120117,83,0.06318501180487646,169811
2020-05-06,221187,8933.25,8819.370117,8874.700195,8854.389648,85,0.05517240186845371,40969
2020-05-07,,9015.990234,8932.860352,8973.780273,8979.660156,82,0.057393778112286103,167773
2020-05-08,232781,9125.980469,9018.209961,9056.889648,9121.320313,78,0.06679322194092073,14530
2020-05-11,188858,9241.919922,9053.169922,9054.910156,9192.339844,79,0.057515798153197004,57324
2020-05-12,,9250.959961,9000.070313,9225.150391,9002.549805,74,0.051397520688480254,207566
2020-05-13,221003,9074.160156,8752.679688,9006.049805,8863.169922,73,0.056093877874047945,48542
2020-05-14,243348,8945.709961,8705.25,8788.040039,8943.719727,70,0.060260657688617415,167082
2020-05-15,256223,9018.400391,8821.379883,8839.990234,9014.55957,70,0.059555257164133985,179285
2020-05-18,233550,9267.219727,9154.349609,9177.150391,9234.830078,70,0.059106864143084976,22505
2020-05-19,247007,9317.25,9183.25,9227.459961,9185.099609,62,0.05888173420442532,210343
2020-05-20,269340,9392.820313,9304.200195,9305.620117,9375.780273,57,0.052184506535731305,42007
2020-05-21,271475,9405.25,9254.849609,9375.19043,9284.879883,56,0.05935289680342796,202748
2020-05-22,,9328.280273,9239.410156,9278.549805,9324.589844,52,0.06665526724232768,20005
2020-05-26,240518,9501.209961,9333.160156,9501.209961,9340.219727,53,0.0817732590055794,191070
2020-05-27,,9414.620117,9144.280273,9346.120117,9412.360352,52,0.06663371892918585,46641
2020-05-28,298866,9523.639648,9345.280273,9392.990234,9368.990234,51,0.044772736182788514,181688
2020-05-29,324201,9505.549805,9324.730469,9382.349609,9489.870117,49,0.039000237017193885,25647
2020-06-01,,9571.280273,9462.320313,9471.419922,9552.049805,48,0.0339059287650824,248519
2020-06-02,290607,9611.219727,9472.080078,9566.530273,9608.379883,46,0.037608268212849,185218
2020-06-03,301528,9707.780273,9627.169922,9651.860352,9682.910156,45,0.044989993839460785,39701
2020-06-04,316823,9716.139648,9560.410156,9649.650391,9615.80957,44,0.04980960473294343,167581
2020-06-05,353612,9845.69043,9685.349609,9703.540039,9814.080078,43,0.04367638512906219,16327
2020-06-08,270765,9927.129883,9780.610352,9823.44043,9924.75,44,0.06631389133738237,22524
2020-06-09,313260,10002.5,9863.269531,9867.19043,9953.75,43,0.0582298034313575,230129
2020-06-10,337995,10086.889648,9962.580078,10012.320313,10020.349609,43,0.051725780162681055,46194
2020-06-11,,9868.080078,9491.30957,9791.240234,9492.730469,43,0.05529553770049474,186475
