date,sentiment
2020-03-20,0.020456264
2020-03-21,0.027722252928135273
2020-03-22,0.04351283575339976
2020-03-23,0.020967784438567207
2020-03-24,0.02565746227812028
2020-03-25,0.03286758903849561
2020-03-26,0.04918818083306898
2020-03-27,0.04515450262914921
2020-03-28,0.0674948354133311
2020-03-30,0.06609912180740571
2020-03-31,0.0481977261137045
2020-04-01,0.028266546911323062
2020-04-02,0.05059449143910974
2020-04-03,0.04883561560014025
2020-04-04,0.05054682134376019
2020-04-05,0.04048922771438611
2020-04-06,0.03168881529143279
2020-04-07,0.046687654007990895
2020-04-08,0.06000497282063129
2020-04-09,0.05348970136354313
2020-04-10,0.057782400033798836
2020-04-11,0.05767681843458488
2020-04-12,0.04854144512503139
2020-04-13,0.04009388416373887
2020-04-14,0.043744941656613065
2020-04-15,0.03061229524515322
2020-04-16,0.042433162382154055
2020-04-17,0.05099155424206803
2020-04-18,0.0640720509495601
2020-04-19,0.05647763280537825
2020-04-20,0.05688912459179201
2020-04-21,0.05796607649385987
2020-04-22,0.05958261731534085
2020-04-23,0.058517088372785284
2020-04-24,0.056242125140870236
2020-04-25,0.04675766256654425
2020-04-26,0.05372613130975567
2020-04-27,0.05818281341988454
2020-04-28,0.052745856283392914
2020-04-29,0.059621287838161674
2020-04-30,0.07129083955447081
2020-05-01,0.06917480869667918
2020-05-02,0.0629535517228464
2020-05-03,0.06048810693891019
2020-05-04,0.0593090359446199
2020-05-05,0.06318501180487646
2020-05-06,0.05517240186845371
2020-05-07,0.057393778112286103
2020-05-08,0.06679322194092073
2020-05-09,0.0556852653729298
2020-05-10,0.05457947635662641
2020-05-11,0.057515798153197004
2020-05-12,0.051397520688480254
2020-05-13,0.056093877874047945
2020-05-14,0.060260657688617415
2020-05-15,0.059555257164133985
2020-05-16,0.05331067805913115
2020-05-17,0.05148972223700137
2020-05-18,0.059106864143084976
2020-05-19,0.05888173420442532
2020-05-20,0.052184506535731305
2020-05-21,0.05935289680342796
2020-05-22,0.06665526724232768
2020-05-23,0.05249402654874723
2020-05-24,0.06304066959791153
2020-05-25,0.07463327501585351
2020-05-26,0.0817732590055794
2020-05-27,0.06663371892918585
2020-05-28,0.044772736182788514
2020-05-29,0.039000237017193885
2020-05-30,0.0272538013956271
2020-05-31,0.03900132235719942
2020-06-01,0.0339059287650824
2020-06-02,0.037608268212849
2020-06-03,0.044989993839460785
2020-06-04,0.04980960473294343
2020-06-05,0.04367638512906219
2020-06-06,0.03485200637112395
2020-06-07,0.024028773875350604
2020-06-08,0.06631389133738237
2020-06-09,0.0582298034313575
2020-06-10,0.051725780162681055
2020-06-11,0.05529553770049474
2020-06-12,0.048954733641413915
2020-06-13,0.03554142974923149
2020-06-14,-0.01895953150378246
2020-06-15,0.039238960014966066
2020-06-16,0.05503936042462431
2020-06-17,0.05653374795390552
2020-06-18,0.04016660125089476
2020-06-19,0.04257491743905622
2020-06-20,0.03590816781934139
2020-06-21,0.045025873189288516
2020-06-22,0.04951787636164693
2020-06-23,0.03475756702020305
2020-06-24,0.023804759818087242
2020-06-25,0.0404877763194804
2020-06-26,0.044650399623600505
2020-06-27,0.03898221377832464
2020-06-28,0.06534577165685089
2020-06-29,0.048722989754359805
2020-06-30,0.03988411712315999
2020-07-01,0.04883016562578526
2020-07-02,0.05156001649720982
2020-07-03,0.07847486835440329
2020-07-04,0.047199881666925465
2020-07-05,0.0315034996185709
2020-07-06,0.020581081846735405
2020-07-07,0.040447018207021415
2020-07-08,0.040851038135159015
2020-07-09,0.03866537238211226
2020-07-10,0.0443976763138809
2020-07-11,0.0524220417364908
2020-07-12,0.05684865729681138
2020-07-13,0.06348217265119824
2020-07-14,0.06272078936778046
2020-07-15,0.043644610461084886
2020-07-16,0.029014406890544762
2020-07-17,0.043425489547287935
2020-07-18,0.06225643694539295
2020-07-19,0.04615230153835885
2020-07-20,0.04963374187346912
2020-07-21,0.05468925925978053
2020-07-22,0.05331341039046497
2020-07-23,0.03761223011789568
2020-07-24,0.048603126247121424
2020-07-25,0.04676070425021674
2020-07-26,0.05191016625263375
2020-07-27,0.05112088232694035
2020-07-28,0.04691513088254143
2020-07-29,0.0622567260761613
2020-07-30,0.05796682223123916
2020-07-31,0.05190740725872602
2020-08-01,0.056490494129491815
2020-08-02,0.06138616550934899
2020-08-03,0.04886865593972073
2020-08-04,0.05456473224428268
2020-08-05,0.05457425479987923
2020-08-06,0.048984943371348275
2020-08-07,0.053947900630562706
2020-08-08,0.04093442414997925
2020-08-09,0.048160574042174394
2020-08-10,0.04939599167809038
2020-08-11,0.05824283238458511
2020-08-12,0.0431746230069705
2020-08-13,0.048971271613328406
2020-08-14,0.06832686244882279
2020-08-15,0.06895079559792021
2020-08-16,0.04248354025865628
2020-08-17,0.053330751709905824
2020-08-18,0.053642804604340524
2020-08-19,0.06427400557737045
2020-08-20,0.06752430259019913
2020-08-21,0.0605156991297848
2020-08-22,0.06789474891762017
2020-08-23,0.05362302873907539
2020-08-24,0.06028243438606539
2020-08-25,0.052649414607198824
2020-08-26,0.048672216892711256
2020-08-27,0.052273862909152584
2020-08-28,0.05097313171812715
2020-08-29,0.052621476494338876
2020-08-30,0.05083666330957626
2020-08-31,0.0696350583049653
2020-09-01,0.05848662068769375
2020-09-02,0.05977965681517313
2020-09-03,0.04904273201787427
2020-09-04,0.05506025908717389
2020-09-05,0.048879336063698646
2020-09-06,0.050023055066335226
2020-09-07,0.04046075473349716
2020-09-08,0.04378595312461177
2020-09-09,0.046508484095331454
2020-09-10,0.045134520873497556
