date,num_cases,high,low,open,close,Coronavirus___Worldwide_,sentiment,changed
2020-07-13,517995,10824.78027,10368.04004,10729.91992,10390.83984,43,0.06348217265,0.01908449634
2020-07-14,635788,10497.83008,10182.45996,10310.25,10488.58008,42,0.06272078937,-0.0007613832834
2020-07-15,657707,10604.66992,10420.54004,10576.71973,10550.49023,40,0.04364461046,-0.01907617891
2020-07-16,,10499.79004,10364.38965,10443.87012,10473.83008,40,0.02901440689,-0.01463020357
2020-07-17,651249,10532.62012,10421.20996,10500.51953,10503.19043,39,0.04342548955,0.01441108266
2020-07-20,554223,10783.79981,10488.04004,10526.01953,10767.08984,38,0.04963374187,0.006208252326
2020-07-21,,10839.92969,10650.45996,10837.87988,10680.36035,37,0.05468925926,0.005055517386
2020-07-22,807845,10745.32031,10627.4502,10687.58008,10706.12988,37,0.05331341039,-0.001375848869
2020-07-23,760487,10728.12012,10407.87012,10689.5,10461.41992,36,0.03761223012,-0.01570118027
2020-07-24,780217,10418.75,10217.30957,10294.41016,10363.17969,36,0.04860312625,0.01099089613
2020-07-27,614922,10546.44043,10399.86035,10421.7002,10536.26953,98,0.05112088233,0.00251775608
2020-07-28,675195,10523.63965,10397.87012,10509.2002,10402.08984,94,0.04691513088,-0.004205751444
2020-07-29,811497,10567.91016,10464,10474.7002,10542.94043,95,0.06225672608,0.01534159519
2020-07-30,790611,10609.58984,10412.08984,10450.12012,10587.80957,96,0.05796682223,-0.004289903845
2020-07-31,,10747.79981,10557.7002,10741.46973,10745.26953,95,0.05190740726,-0.006059414973
2020-08-03,545163,10927.55957,10831.15039,10848.63965,10902.79981,93,0.04886865594,-0.003038751319
2020-08-04,700360,10941.91016,10852.90039,10897.88965,10941.16992,88,0.05456473224,0.005696076305
2020-08-05,,11002.11035,10943.71973,10967.87012,10998.40039,100,0.0545742548,0.000009522555597
2020-08-06,765154,11121.19043,10963.41016,10989.98047,11108.07031,86,0.04898494337,-0.005589311429
2020-08-07,759878,11126.04004,10920.37012,11072.53027,11010.98047,85,0.05394790063,0.004962957259
2020-08-10,,11040.24023,10849.45996,11033.73047,10968.36035,82,0.04939599168,-0.004551908952
2020-08-11,748741,10989.41992,10762.70996,10942.66016,10782.82031,84,0.05824283238,0.008846840706
2020-08-12,758066,11036.71973,10877.16016,10878.12012,11012.24023,79,0.04317462301,-0.01506820938
2020-08-13,780905,11124.84961,11007.5,11026.86035,11042.5,80,0.04897127161,0.005796648606
2020-08-14,776288,11058.44043,10972.05957,11042.24023,11019.29981,83,0.06832686245,0.01935559084
2020-08-17,549484,11144.53027,11080.29981,11083.25,11129.73047,80,0.05333075171,-0.01499611074
2020-08-18,688246,11230.62012,11103.83008,11170.75,11210.83984,77,0.0536428046,0.0003120528944
2020-08-19,750559,11257.41992,11132.09961,11214.79981,11146.45996,75,0.06427400558,0.01063120097
2020-08-20,,11283.62012,11090.03027,11096.40039,11264.9502,75,0.06752430259,0.003250297013
2020-08-21,694578,11326.20996,11245.44043,11258.44043,11311.79981,75,0.06051569913,-0.00700860346
2020-08-24,577877,11462.04981,11297.53027,11449.25,11379.71973,73,0.06028243439,-0.0002332647437
2020-08-25,,11468.25977,11343.04004,11370.23047,11466.46973,73,0.05264941461,-0.007633019779
2020-08-26,756363,11672.04981,11507.45996,11516.62012,11665.05957,70,0.04867221689,-0.003977197714
2020-08-27,757996,11730.00977,11551.00977,11688.19043,11625.33984,73,0.05227386291,0.003601646016
2020-08-28,772054,11708.76953,11634.76953,11689.28027,11695.62988,71,0.05097313172,-0.001300731191
2020-08-31,694395,11829.83984,11697.41992,11718.80957,11775.45996,70,0.0696350583,0.01866192659
2020-09-01,755739,11945.71973,11794.78027,11850.95996,11939.66992,68,0.05848662069,-0.01114843762
2020-09-02,758677,12074.05957,11836.17969,12047.25977,12056.44043,67,0.05977965682,0.001293036127
2020-09-03,775119,11894.40039,11361.36035,11861.90039,11458.09961,67,0.04904273202,-0.0107369248
2020-09-04,,11531.17969,10875.87012,11396.24023,11313.12988,65,0.05506025909,0.006017527069
2020-09-08,691952,11131.5,10837.2002,10900.7002,10847.69043,67,0.04378595312,-0.01127430596
2020-09-09,,11217.69043,10970.4502,11064.75977,11141.55957,67,0.0465084841,0.002722530971
2020-09-10,819431,11299.53027,10875.01953,11235.53027,10919.58984,66,0.04513452087,-0.001373963222
2020-09-11,859058,11033.04004,10728.03027,11010.07031,10853.54981,67,0.0520157754,0.006881254524
2020-09-14,,11118.29004,10982.25977,11010.13965,11056.65039,83,0.04031093678,-0.01170483862
2020-09-15,819300,11244.45996,11127.98047,11193.95996,11190.32031,77,0.05806730893,0.01775637215
